channel_name,channel_id,focus_area,year_groups_covered,quality_rating,notes
Maths Genie,UCkuzxSNqsCF4VR5Ij0K1BxQ,GCSE & A-Level worked examples,Year 9-Year 13,high,"Pre-sorted by topic with grade labels; strong for exam-style problems"
Corbettmaths,UCht8qITGkBvXKsR1Byln-wA,Comprehensive GCSE coverage,Year 7-Year 11,high,"Video corbett + practice questions + 5-a-day; exceptional topic breadth"
HegartyMaths,UCzvg5_pQKl6tC9JH5SoesRQ,Structured topic lessons,Year 7-Year 11,high,"Now part of Sparx Maths; consistent explanation style; very UK-curriculum-aligned"
TLMaths,UCk7qe0Vpi5FVmjJhpEgw-wg,A-Level focused (some GCSE Higher),Year 11-Year 13,high,"Clean board work; strong on mechanics and pure; use for GCSE Higher topics"
3Blue1Brown,UCYO_jab_esuFRV4b17AJtAw,Conceptual depth (US curriculum but pedagogy patterns are gold),Year 9+,high,"Not UK-curriculum-aligned; pedagogy patterns reference only; never copy phrasing"
Eddie Woo,UCq0EGvLTyy-LLT1oUSO_0FQ,Strong explanation style (Australian curriculum),Year 7-Year 12,high,"Use for pedagogy patterns; topic names differ from UK (e.g. 'quadratics' still maps)"
Organic Chemistry Tutor,UCEWpbFLzoYGPfuWUMFPSaoA,Maths sections (beyond chemistry),Year 9+,medium,"Use maths sections only; calc-heavy; good for worked examples"
Dr Austin Maths,UC1_PYV-pPvmq3EtJm2Vb1iA,GCSE & A-Level,Year 10-Year 13,medium,"Clear worked examples with structured layout"
Mr Morley Maths,UC_YQ0dv93P0LOYHJNsWjKkQ,GCSE focused,Year 9-Year 11,medium,"Newer channel; growing catalogue"
Maths4Everyone,UCNVCZ7fIe31xeoz0DcG0emQ,GCSE with emphasis on fundamentals,Year 9-Year 11,medium,"Clear voice; solid for foundation tier"
